attribute,accuracy,precision,recall,f1,support,positive_rate,prediction_rate
Atr_5_o_Clock_Shadow,0.9219739913304434,0.7849056603773585,0.5402597402597402,0.64,385,0.12837612628936768,0.08836278759586529
Atr_Arched_Eyebrows,0.8332777592530843,0.6443569553805775,0.6819444444444445,0.6626180836707153,720,0.24008002877235413,0.25408469489829943
Atr_Attractive,0.8206068689563187,0.8257006151742994,0.8101945003353455,0.8178740690589031,1491,0.497165709733963,0.48782927642547513
Atr_Bags_Under_Eyes,0.8242747582527509,0.7037037037037037,0.39060205580029367,0.502360717658168,681,0.2270756959915161,0.12604201400466822
Atr_Bald,0.98432810936979,0.6703296703296703,0.782051282051282,0.7218934911242604,78,0.026008669286966324,0.030343447815938646
Atr_Bangs,0.9539846615538513,0.857487922705314,0.8179723502304147,0.8372641509433962,434,0.14471490681171417,0.13804601533844615
Atr_Big_Lips,0.8099366455485162,0.7352941176470589,0.19230769230769232,0.3048780487804878,650,0.21673890948295593,0.056685561853951315
Atr_Big_Nose,0.8276092030676893,0.7462039045553145,0.46236559139784944,0.570954356846473,744,0.24808269739151,0.15371790596865623
Atr_Black_Hair,0.8936312104034678,0.7407847800237812,0.8604972375690608,0.7961661341853035,724,0.24141380190849304,0.2804268089363121
Atr_Blond_Hair,0.9543181060353451,0.8364928909952607,0.838479809976247,0.8374851720047449,421,0.1403801292181015,0.1407135711903968
Atr_Blurry,0.94864954984995,0.47297297297297297,0.4794520547945205,0.47619047619047616,146,0.04868289455771446,0.04934978326108703
Atr_Brown_Hair,0.8739579859953318,0.696,0.6062717770034843,0.6480446927374302,574,0.19139713048934937,0.16672224074691563
Atr_Bushy_Eyebrows,0.9049683227742581,0.6903073286052009,0.6547085201793722,0.6720368239355581,446,0.14871624112129211,0.14104701567189062
Atr_Chubby,0.9509836612204068,0.7108433734939759,0.3241758241758242,0.44528301886792454,182,0.06068689748644829,0.027675891963987995
Atr_Double_Chin,0.9556518839613204,0.6282051282051282,0.3202614379084967,0.42424242424242425,153,0.05101700499653816,0.02600866955651884
Atr_Eyeglasses,0.9906635545181727,0.9768518518518519,0.9017094017094017,0.9377777777777778,234,0.07802601158618927,0.07202400800266756
Atr_Goatee,0.9633211070356785,0.7455357142857143,0.759090909090909,0.7522522522522522,220,0.07335778325796127,0.07469156385461821
Atr_Gray_Hair,0.972324108036012,0.7795275590551181,0.6428571428571429,0.7046263345195729,154,0.05135045200586319,0.042347449149716575
Atr_Heavy_Makeup,0.9236412137379126,0.8632558139534884,0.9188118811881189,0.890167865707434,1010,0.3367789387702942,0.3584528176058686
Atr_High_Cheekbones,0.8642880960320106,0.8962264150943396,0.7851239669421488,0.8370044052863436,1331,0.44381460547447205,0.3887962654218073
Atr_Male,0.9786595531843948,0.9745704467353952,0.9813148788927336,0.9779310344827586,1445,0.4818272888660431,0.4851617205735245
Atr_Mouth_Slightly_Open,0.9319773257752584,0.9365192582025678,0.9194677871148459,0.9279151943462898,1428,0.4761587083339691,0.46748916305435145
Atr_Mustache,0.9509836612204068,0.625,0.2727272727272727,0.379746835443038,165,0.055018339306116104,0.02400800266755585
Atr_Narrow_Eyes,0.8989663221073692,0.6331360946745562,0.3074712643678161,0.41392649903288203,348,0.11603868007659912,0.05635211737245749
Atr_No_Beard,0.9513171057019006,0.9636363636363636,0.977058582548136,0.9703010577705452,2441,0.8139379620552063,0.8252750916972325
Atr_Oval_Face,0.7605868622874291,0.6404833836858006,0.26140567200986436,0.3712784588441331,811,0.2704234719276428,0.11037012337445816
Atr_Pale_Skin,0.966322107369123,0.6626506024096386,0.4296875,0.5213270142180095,128,0.04268089309334755,0.027675891963987995
Atr_Pointy_Nose,0.7652550850283428,0.5885416666666666,0.2927461139896373,0.39100346020761245,772,0.2574191391468048,0.12804268089363122
Atr_Receding_Hairline,0.9339779926642214,0.6195121951219512,0.5141700404858299,0.5619469026548672,247,0.08236078917980194,0.06835611870623541
Atr_Rosy_Cheeks,0.9516505501833945,0.6507936507936508,0.25,0.36123348017621143,164,0.054684896022081375,0.02100700233411137
Atr_Sideburns,0.9593197732577526,0.725609756097561,0.6071428571428571,0.6611111111111111,196,0.06535512208938599,0.05468489496498833
Atr_Smiling,0.9239746582194065,0.954954954954955,0.8833333333333333,0.9177489177489178,1440,0.48016005754470825,0.44414804934978325
Atr_Straight_Hair,0.8139379793264422,0.5751295336787565,0.5162790697674419,0.5441176470588235,645,0.2150716930627823,0.1930643547849283
Atr_Wavy_Hair,0.8542847615871957,0.7898089171974523,0.695067264573991,0.7394156231365534,892,0.29743248224258423,0.26175391797265757
Atr_Wearing_Earrings,0.9006335445148382,0.8442367601246106,0.5221579961464354,0.6452380952380953,519,0.1730576902627945,0.10703567855951984
Atr_Wearing_Hat,0.9899966655551851,0.9473684210526315,0.8674698795180723,0.9056603773584906,166,0.05535178259015083,0.050683561187062354
Atr_Wearing_Lipstick,0.9243081027009002,0.9001560062402496,0.9209896249002394,0.9104536489151874,1253,0.417805939912796,0.4274758252750917
Atr_Wearing_Necklace,0.8926308769589864,0.6666666666666666,0.012345679012345678,0.024242424242424242,324,0.10803601145744324,0.0020006668889629878
Atr_Wearing_Necktie,0.966322107369123,0.8300395256916996,0.7835820895522388,0.8061420345489443,268,0.08936312049627304,0.08436145381793932
Atr_Young,0.8726242080693565,0.8892575694732476,0.9490925188136343,0.9182012847965739,2259,0.7532510757446289,0.8039346448816272
